,title,author,length of book,unique words,published on,updated date,language
0,Apocolocyntosis,Lucius Seneca,8807.0,3035.0,"November 10, 2003",,English
1,The House on the Borderland,William Hope Hodgson,64594.0,10832.0,"November 10, 2003","January 19, 2009",English
2,"My First Years As A Frenchwoman, 1876-1879",Mary King Waddington,51300.0,11263.0,"November 10, 2003",,English
3,The Warriors,"Lindsay, Anna Robertson Brown",73656.0,12857.0,"November 10, 2003",,English
4,A Voyage to the Moon,George Tucker,16512.0,4538.0,"November 7, 2003",,English
5,La Fiammetta,Giovanni Boccaccio,69542.0,14181.0,"November 7, 2003",,English
6,The Mystery,Stewart Edward White and Samuel Hopkins Adams,90180.0,13840.0,"November 7, 2003",,English
7,Wild Northern Scenes,S. H. Hammond,13938.0,4098.0,"November 7, 2003",,English
8,The Eulogies of Howard,William Hayley,26555.0,3100.0,"November 7, 2003",,English
9,365 Foreign Dishes,Unknown,18202.0,5784.0,"November 7, 2003",,English
10,"Punchinello, Vol. 1, No. 9, May 28, 1870",Various,19257.0,6442.0,"November 7, 2003",,English
11,"Punchinello, Vol. 1, No. 18, July 30, 1870",Various,18382.0,6056.0,"November 7, 2003",,English
12,"Punchinello, Vol. 1, No. 19, August 6, 1870",Various,19782.0,6632.0,"November 7, 2003",,English
13,"Punchinello Vol. 1, No. 21, August 20, 1870",Various,18392.0,6016.0,"November 7, 2003",,English
14,"Punchinello, Vol. 1, No. 23,  September 3, 1870",Various,18548.0,6101.0,"November 7, 2003",,English
15,"Punchinello, Vol. 1, No. 5,  April 30, 1870",Various,18474.0,6384.0,"November 8, 2003",,English
16,"Punchinello, Vol. 1, No. 22, August 27, 1870",Various,48315.0,11017.0,"November 8, 2003",,English
17,"The Strand Magazine: Volume VII, Issue 37. January, 1894.",Edited by George Newnes,55174.0,10259.0,"November 8, 2003",,English
18,Tenterhooks,Ada Leverson,41693.0,6002.0,"November 8, 2003 ",,English
19,White Queen of the Cannibals: The Story of Mary Slessor,A. J. Bueltmann,38245.0,9371.0,"November 8, 2003",,English
20,There's Pippins And Cheese To Come,Charles S. Brooks,53315.0,10949.0,"November 8, 2003",,English
21,Beneath the Banner,F. J. Cross,69686.0,14180.0,"November 9, 2003",,English
22,Gaslight Sonatas,Fannie  Hurst,16222.0,5526.0,"November 9, 2003",,English
23,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,", Various,75404.0,12167.0,"October 9, 2003 ",,English
24,The Triple Alliance,Harold Avery,46349.0,7799.0,"November 13, 2003 ",,English
25,Spalding's Official Baseball Guide - 1913,,54856.0,8725.0,"October 12, 2003 ",,English
26,The Hunt Ball Mystery,"Magnay, William",104068.0,13206.0,"November 10, 2003",,English
27,The Life of Hon. William F. Cody,William F. Cody,18401.0,6055.0,"November 10, 2003",,English
28,"Punchinello, Vol. 1, No. 24, September 10, 1870",Various,18820.0,6015.0,"November 10, 2003",,English
29,"Punchinello, Vol. 1, No. 25, September 17, 1870",Various,18082.0,6191.0,"November 10, 2003",,English
30,"Punchinello, Vol. 1, No. 26, September 24, 1870",Various,19139.0,6163.0,"November 10, 2003",,English
31,"Punchinello, Vol. 2, No. 27, October 1, 1870",Various,18691.0,6148.0,"November 10, 2003",,English
32,"Punchinello Vol. 2, No. 28, October 8, 1870",Various,69786.0,13005.0,"November 10, 2003",,English
33,A Beautiful Possibility,Edith Ferguson Black,154845.0,24280.0,"November 10, 2003",,English
34,The Magnetic North,Elizabeth Robins (C. E. Raimond),147559.0,25827.0,"November 10, 2003",,English
35,"The Works of Aphra Behn, Vol. III",Aphra Behn,4683.0,2039.0,"November 10, 2003",,English
36,Alaska Indian Dictionary,Charles A. Lee,75482.0,15143.0,"November 10, 2003",,"As Spoken By The Oogashik, Egashik, Egegik,"
37,The Rivet in Grandfather's Neck,James Branch Cabell,75355.0,13349.0,"November 11, 2003",,English
38,The Child Under Eight,E.R. Murray and Henrietta Brown Smith,32326.0,6115.0,"November 11, 2003",,English
39,Klondyke Nuggets,Joseph Ladue,48042.0,9729.0,"November 11, 2003",,English
40,The Father of British Canada: A Chronicle of Carleton,William Wood,95425.0,14898.0,"November 11, 2003",,English
41,Dave Darrin's Second Year at Annapolis,H. Irving Hancock,20103.0,6415.0,"November 11, 2003","April 13, 2011]",English
42,Salute to Adventurers,John Buchan,45314.0,7939.0,"November 11, 2003",,English
43,"Punchinello, Vol. 2, No. 29, October 15, 1870",Various,30351.0,5932.0,"November 11, 2003",,English
44,Billie Bradley and Her Inheritance,Janet D. Wheeler,29895.0,4703.0,"November 11, 2003",,English
45,Old Lady Mary,Margaret O. (Wilson) Oliphant,45376.0,7386.0,"November 11, 2003",,English
46,A Little Pilgrim,Margaret O. (Wilson) Oliphant,90235.0,16448.0,"November 11, 2003",,English
47,The Little Pilgrim: Further Experiences.,Margaret O. (Wilson) Oliphant,54036.0,10876.0,"November 11, 2003",,English
48,"The Open Door, and the Portrait.",Margaret O. (Wilson) Oliphant,76409.0,14534.0,"November 11, 2003","May 8, 2017]",English
49,Chinese Literature,Anonymous,51775.0,10749.0,"November 17, 2003",,English
50,The Secret of the Tower,"Hope, Anthony",98940.0,15827.0,"November 17, 2003",,English
51,The Divine Office,Rev. E. J. Quigley,144792.0,22261.0,"November 17, 2003",,English
52,Aunt Jane's Nieces on Vacation,Edith Van Dyne,24700.0,6022.0,"November 12, 2003",,English
53,Discourses,Thomas H. Huxley,176439.0,21696.0,"November 12, 2003",,English
54,The Iron Game,Henry Francis Keenan,36993.0,8023.0,"November 12, 2003",,English
55,Happiness and Marriage,Elizabeth (Jones) Towne,82916.0,12393.0,"November 12, 2003",,English
